Quarter,KPI,Target,Actual
Q1,Patient Satisfaction,90,88
Q2,Avg Wait Time,30,45
Q3,Bed Utilization,85,82
Q4,Staff Retention,80,78
Q1,Patient Satisfaction,90,88
Q2,Avg Wait Time,30,45
Q3,Bed Utilization,85,82
Q4,Staff Retention,80,78
Q1,Patient Satisfaction,90,88
Q2,Avg Wait Time,30,45
Q3,Bed Utilization,85,82
Q4,Staff Retention,80,78
Q1,Patient Satisfaction,90,88
Q2,Avg Wait Time,30,45
Q3,Bed Utilization,85,82
Q4,Staff Retention,80,78
Q1,Patient Satisfaction,90,88
Q2,Avg Wait Time,30,45
Q3,Bed Utilization,85,82
Q4,Staff Retention,80,78
Q1,Patient Satisfaction,90,88
Q2,Avg Wait Time,30,45
Q3,Bed Utilization,85,82
Q4,Staff Retention,80,78
Q1,Patient Satisfaction,90,88
Q2,Avg Wait Time,30,45
Q3,Bed Utilization,85,82
Q4,Staff Retention,80,78
Q1,Patient Satisfaction,90,88
Q2,Avg Wait Time,30,45
Q3,Bed Utilization,85,82
Q4,Staff Retention,80,78
Q1,Patient Satisfaction,90,88
Q2,Avg Wait Time,30,45
Q3,Bed Utilization,85,82
Q4,Staff Retention,80,78
Q1,Patient Satisfaction,90,88
Q2,Avg Wait Time,30,45
Q3,Bed Utilization,85,82
Q4,Staff Retention,80,78
Q1,Patient Satisfaction,90,88
Q2,Avg Wait Time,30,45
Q3,Bed Utilization,85,82
Q4,Staff Retention,80,78
Q1,Patient Satisfaction,90,88
Q2,Avg Wait Time,30,45
Q3,Bed Utilization,85,82
Q4,Staff Retention,80,78
Q1,Patient Satisfaction,90,88
Q2,Avg Wait Time,30,45
Q3,Bed Utilization,85,82
Q4,Staff Retention,80,78
Q1,Patient Satisfaction,90,88
Q2,Avg Wait Time,30,45
Q3,Bed Utilization,85,82
Q4,Staff Retention,80,78
Q1,Patient Satisfaction,90,88
Q2,Avg Wait Time,30,45
Q3,Bed Utilization,85,82
Q4,Staff Retention,80,78
Q1,Patient Satisfaction,90,88
Q2,Avg Wait Time,30,45
Q3,Bed Utilization,85,82
Q4,Staff Retention,80,78
Q1,Patient Satisfaction,90,88
Q2,Avg Wait Time,30,45
Q3,Bed Utilization,85,82
Q4,Staff Retention,80,78
Q1,Patient Satisfaction,90,88
Q2,Avg Wait Time,30,45
Q3,Bed Utilization,85,82
Q4,Staff Retention,80,78
Q1,Patient Satisfaction,90,88
Q2,Avg Wait Time,30,45
Q3,Bed Utilization,85,82
Q4,Staff Retention,80,78
Q1,Patient Satisfaction,90,88
Q2,Avg Wait Time,30,45
Q3,Bed Utilization,85,82
Q4,Staff Retention,80,78
Q1,Patient Satisfaction,90,88
Q2,Avg Wait Time,30,45
Q3,Bed Utilization,85,82
Q4,Staff Retention,80,78
Q1,Patient Satisfaction,90,88
Q2,Avg Wait Time,30,45
Q3,Bed Utilization,85,82
Q4,Staff Retention,80,78
Q1,Patient Satisfaction,90,88
Q2,Avg Wait Time,30,45
Q3,Bed Utilization,85,82
Q4,Staff Retention,80,78
Q1,Patient Satisfaction,90,88
Q2,Avg Wait Time,30,45
Q3,Bed Utilization,85,82
Q4,Staff Retention,80,78
Q1,Patient Satisfaction,90,88
Q2,Avg Wait Time,30,45
Q3,Bed Utilization,85,82
Q4,Staff Retention,80,78
